"","country","sex","bc_cate","education","TotalN","ChildlessN","NeverInUnionN","prop_childless","prop_neverinunion"
"1","Albania","Men","1950-1959","High",339,NA,NA,NA,NA
"2","Albania","Men","1950-1959","Low",522,NA,NA,NA,NA
"3","Albania","Men","1960-1969","High",1766,21,17,1.2,81
"4","Albania","Men","1960-1969","Low",2286,13,5,0.6,38.5
"5","Albania","Men","1970-1979","High",1457,107,60,7.3,56.1
"6","Albania","Men","1970-1979","Low",1787,107,45,6,42.1
"7","Albania","Men","1980-1989","High",298,35,24,11.7,68.6
"8","Albania","Men","1980-1989","Low",503,38,29,7.6,76.3
"9","Albania","Women","1950-1959","High",161,8,2,5,25
"10","Albania","Women","1950-1959","Low",168,8,1,4.8,12.5
"11","Albania","Women","1960-1969","High",789,59,19,7.5,32.2
"12","Albania","Women","1960-1969","Low",811,60,12,7.4,20
"13","Albania","Women","1970-1979","High",585,73,32,12.5,43.8
"14","Albania","Women","1970-1979","Low",615,74,30,12,40.5
"15","Albania","Women","1980-1989","High",121,46,32,38,69.6
"16","Albania","Women","1980-1989","Low",195,43,27,22.1,62.8
"17","Angola","Men","1960-1969","High",274,7,3,2.6,42.9
"18","Angola","Men","1960-1969","Low",368,17,5,4.6,29.4
"19","Angola","Men","1970-1979","High",1093,29,13,2.7,44.8
"20","Angola","Men","1970-1979","Low",1524,52,13,3.4,25
"21","Angola","Men","1980-1989","High",99,2,1,2,50
"22","Angola","Men","1980-1989","Low",263,6,5,2.3,83.3
"23","Angola","Women","1960-1969","High",284,9,1,3.2,11.1
"24","Angola","Women","1960-1969","Low",327,15,6,4.6,40
"25","Angola","Women","1970-1979","High",426,12,6,2.8,50
"26","Angola","Women","1970-1979","Low",533,21,8,3.9,38.1
"27","Angola","Women","1980-1989","High",49,3,3,6.1,100
"28","Angola","Women","1980-1989","Low",91,7,5,7.7,71.4
"29","Armenia","Men","1960-1969","High",214,18,14,8.4,77.8
"30","Armenia","Men","1960-1969","Low",314,15,9,4.8,60
"31","Armenia","Men","1970-1979","High",799,83,59,10.4,71.1
"32","Armenia","Men","1970-1979","Low",824,47,25,5.7,53.2
"33","Armenia","Men","1980-1989","High",96,12,11,12.5,91.7
"34","Armenia","Men","1980-1989","Low",123,11,9,8.9,81.8
"35","Armenia","Women","1960-1969","High",109,5,5,4.6,100
"36","Armenia","Women","1960-1969","Low",130,7,4,5.4,57.1
"37","Armenia","Women","1970-1979","High",293,37,25,12.6,67.6
"38","Armenia","Women","1970-1979","Low",434,43,31,9.9,72.1
"39","Armenia","Women","1980-1989","High",25,4,3,16,75
"40","Armenia","Women","1980-1989","Low",57,11,9,19.3,81.8
"41","Austria","Men","1910-1919","High",1,NA,NA,NA,NA
"42","Austria","Men","1910-1919","Low",3,NA,NA,NA,NA
"43","Austria","Men","1910-1919","Medium",2,NA,NA,NA,NA
"44","Austria","Men","1920-1929","High",6,NA,NA,NA,NA
"45","Austria","Men","1920-1929","Low",18,2,NA,11.1,NA
"46","Austria","Men","1920-1929","Medium",24,2,1,8.3,50
"47","Austria","Men","1930-1939","High",19,1,1,5.3,100
"48","Austria","Men","1930-1939","Low",43,10,2,23.3,20
"49","Austria","Men","1930-1939","Medium",73,6,2,8.2,33.3
"50","Austria","Men","1930-1939",NA,1,NA,NA,NA,NA
"51","Austria","Men","1940-1949","High",38,7,2,18.4,28.6
"52","Austria","Men","1940-1949","Low",46,11,1,23.9,9.1
"53","Austria","Men","1940-1949","Medium",212,35,3,16.5,8.6
"54","Austria","Men","1940-1949",NA,1,NA,NA,NA,NA
"55","Austria","Men","1950-1959","High",46,10,2,21.7,20
"56","Austria","Men","1950-1959","Low",47,13,6,27.7,46.2
"57","Austria","Men","1950-1959","Medium",303,46,5,15.2,10.9
"58","Austria","Men","1950-1959",NA,1,NA,NA,NA,NA
"59","Austria","Men","1960-1969","High",190,53,11,27.9,20.8
"60","Austria","Men","1960-1969","Low",110,39,15,35.5,38.5
"61","Austria","Men","1960-1969","Medium",769,183,56,23.8,30.6
"62","Austria","Men","1960-1969",NA,1,1,NA,100,NA
"63","Austria","Men","1970-1979","High",105,42,13,40,31
"64","Austria","Men","1970-1979","Low",36,20,5,55.6,25
"65","Austria","Men","1970-1979","Medium",378,122,32,32.3,26.2
"66","Austria","Men","1970-1979",NA,1,NA,NA,NA,NA
"67","Austria","Men","1980-1989","High",15,7,1,46.7,14.3
"68","Austria","Men","1980-1989","Low",6,2,1,33.3,50
"69","Austria","Men","1980-1989","Medium",64,32,10,50,31.2
"70","Austria","Women","1910-1919","Medium",2,2,NA,100,NA
"71","Austria","Women","1920-1929","High",2,2,2,100,100
"72","Austria","Women","1920-1929","Low",29,8,NA,27.6,NA
"73","Austria","Women","1920-1929","Medium",24,4,1,16.7,25
"74","Austria","Women","1930-1939","High",6,3,1,50,33.3
"75","Austria","Women","1930-1939","Low",88,6,1,6.8,16.7
"76","Austria","Women","1930-1939","Medium",85,9,2,10.6,22.2
"77","Austria","Women","1940-1949","High",32,6,NA,18.8,NA
"78","Austria","Women","1940-1949","Low",128,12,3,9.4,25
"79","Austria","Women","1940-1949","Medium",212,27,6,12.7,22.2
"80","Austria","Women","1950-1959","High",41,14,5,34.1,35.7
"81","Austria","Women","1950-1959","Low",79,8,3,10.1,37.5
"82","Austria","Women","1950-1959","Medium",293,37,9,12.6,24.3
"83","Austria","Women","1950-1959",NA,1,NA,NA,NA,NA
"84","Austria","Women","1960-1969","High",245,60,13,24.5,21.7
"85","Austria","Women","1960-1969","Low",232,35,9,15.1,25.7
"86","Austria","Women","1960-1969","Medium",1028,145,30,14.1,20.7
"87","Austria","Women","1970-1979","High",128,46,10,35.9,21.7
"88","Austria","Women","1970-1979","Low",93,13,4,14,30.8
"89","Austria","Women","1970-1979","Medium",531,100,23,18.8,23
"90","Austria","Women","1980-1989","High",20,7,2,35,28.6
"91","Austria","Women","1980-1989","Low",7,1,1,14.3,100
"92","Austria","Women","1980-1989","Medium",44,8,1,18.2,12.5
"93","Azerbaijan","Men","1950-1959","High",213,20,12,9.4,60
"94","Azerbaijan","Men","1950-1959","Low",380,41,23,10.8,56.1
"95","Azerbaijan","Men","1960-1969","High",816,90,62,11,68.9
"96","Azerbaijan","Men","1960-1969","Low",1650,191,124,11.6,64.9
"97","Azerbaijan","Men","1970-1979","High",150,29,25,19.3,86.2
"98","Azerbaijan","Men","1970-1979","Low",286,56,38,19.6,67.9
"99","Azerbaijan","Women","1940-1949","High",26,1,1,3.8,100
"100","Azerbaijan","Women","1940-1949","Low",27,NA,NA,NA,NA
"101","Azerbaijan","Women","1950-1959","High",204,7,2,3.4,28.6
"102","Azerbaijan","Women","1950-1959","Low",237,10,2,4.2,20
"103","Azerbaijan","Women","1960-1969","High",300,10,2,3.3,20
